"","DNUM_IC","ASUNTO","MESES_CONSUMO","IMPORTE_ACUMULADO","IMPORTE_ULTIMO_MES","ULTIMO_MES","TIPO_AMPARO"
"1",1000502992,95361,8,2419784636.21,220882084.22,202502,"MAC"
"2",2001851289,113294,19,2152708639.88,97840495.52,202510,"MAC"
"3",2003561525,103089,11,1883267674.67,171205543.77,202509,"MAC"
"4",1000383520,115355,27,1737487098.84,85602771.88,202510,"MAC"
"5",2000132383,45418,29,1549538354.16,63571.17,202509,"MAC"
"6",2002186003,113237,5,1197300228.74,212650099.04,202505,"MAC"
"7",2002965984,101964,7,1154651909.41,289753750.13,202509,"MAC"
"8",2002758173,99771,5,1140716706.47,221559634.06,202507,"MAC"
"9",2003021529,108579,26,1122035354.09,519860.94,202509,"MAC"
"10",1500441685,112530,7,1077507491.74,7526753.7,202505,"MAC"
"11",2002718760,112468,7,1066565934.5,225868887.27,202507,"MAC"
"12",2002714036,94357,17,1065971625.84,73960077.87,202508,"MAC"
"13",2003200851,109851,22,1051785421.54,48920247.76,202510,"MAC"
"14",2002446189,60793,5,964345625.25,122609167.46,202410,"MAC"
"15",2000172904,134142,28,957507325.52,33004092.6,202509,"MAC"
"16",2003326395,114439,19,889862176.39,522522,202508,"MAC"
"17",2003759625,121540,7,834546353.23,279622500.08,202509,"MAC"
"18",1000167266,133707,28,780066141.61,32311854.46,202509,"MAC"
"19",2002077154,103933,4,770395319.75,204030449.73,202506,"MAC"
"20",2001611838,130408,28,761464316.3,25540075.78,202510,"MAC"
"21",1002764096,118208,30,760079052.89,67003664.07,202510,"MAC"
"22",2001316443,114325,29,730917204.58,36510024.93,202510,"MAC"
"23",2002448833,99597,12,721099952.14,7688.68,202508,"MAC"
"24",2002448834,99597,4,721037518.81,199876555.07,202506,"MAC"
"25",2003266128,106631,23,704998930.52,36394769.07,202508,"MAC"
"26",1500182216,127693,8,660354304.23,73372700.47,202509,"MAC"
"27",2001386536,125044,22,596840763.12,20578878.46,202509,"MAC"
"28",2002726793,111046,3,593195334.78,148977368.23,202505,"MAC"
"29",1002286970,122961,12,563585123.5,42122286.01,202407,"MAC"
"30",1002750368,130947,23,550170449.16,25718307.18,202509,"MAC"
"31",1003020959,126180,28,536103105.57,30640793.08,202509,"MAC"
"32",1500489177,130824,25,530091335.23,30700115.57,202509,"MAC"
"33",2002917532,127139,13,526421929.7,36745460.69,202510,"MAC"
"34",2003483937,128508,25,513565120.12,30753370.1,202509,"MAC"
"35",2003483937,140263,25,513565120.12,30753370.1,202509,"MAC"
"36",2000495715,131226,16,470933493.89,26274367.19,202509,"MAC"
"37",1000580638,128196,26,459327621.44,15315639.9,202510,"MAC"
"38",2000359828,137993,22,458403656.96,24774868.52,202510,"MAC"
"39",1500374148,131274,24,442816677.06,20424683.3,202509,"MAC"
"40",1002815622,125898,26,427455182.77,21677946.42,202509,"MAC"
"41",2000206585,125728,26,421278223.04,65022.23,202510,"MAC"
"42",2001092481,127730,21,418900818.06,20398852.14,202504,"MAC"
"43",2003945988,128322,6,415775838.63,147014.98,202506,"MAC"
"44",1002890533,141054,26,408684969.52,1945926.73,202508,"MAC"
"45",2001528291,126926,11,407856438.81,38891409.68,202509,"MAC"
"46",2001321951,116094,30,404658039.44,58388.43,202510,"MAC"
"47",1002261353,39515,8,382561292.45,51065523,202507,"MAC"
"48",2001801129,122962,28,376511806.38,10555020,202509,"MAC"
"49",2002763768,47246,29,373265069.87,203239.77,202510,"MAC"
"50",1500479834,126507,6,367333895.35,73372700.47,202510,"MAC"
"51",1002853729,132251,13,365841176.37,65998709.42,202509,"MAC"
"52",2003170446,137719,13,364006989.5,51065523,202506,"MAC"
"53",2003546390,115386,19,363767318.63,1184107.42,202509,"MAC"
"54",1002197371,122796,18,358840450.61,735679.78,202508,"MAC"
"55",2003590718,133132,19,358010306.62,126478737.64,202509,"MAC"
"56",2001932639,126777,26,357195669.63,15291491.97,202509,"MAC"
"57",2000384042,91365,7,357087900.53,51065523,202508,"MAC"
"58",1003011594,123405,8,356465520.64,51065523,202509,"MAC"
"59",2001445562,124768,27,354659347.54,15390605.89,202509,"MAC"
"60",2001225219,36031,12,350167815.49,6047056.78,202406,"MAC"
"61",1002258990,131197,15,350120641.06,3876,202509,"MAC"
"62",1000679592,132024,21,348478811.79,78164.49,202508,"MAC"
"63",2003266288,116538,12,336427065.73,924889.36,202510,"MAC"
"64",1002513870,133332,22,334373725.11,57343134.97,202504,"MAC"
"65",1002449392,127790,24,331256633.65,33018576.15,202509,"MAC"
"66",1002847068,130104,13,330005894.32,32999354.71,202509,"MAC"
"67",2001838340,140031,27,325483139.16,37147.08,202510,"MAC"
"68",2003163225,141613,6,322154386.01,51065523,202504,"MAC"
"69",2003025543,66791,6,312083141.28,51231140.59,202505,"MAC"
"70",2000384043,41886,7,309981700.36,51065523,202507,"MAC"
