PRODUCTO_PRINCIPAL;SUB_PRODUCTO_PRINCIPAL;GRUPO AMPAROS
Afiliacion;Anulacion de Opcion;Afiliacion
Afiliacion;AUMENTO DE CUOTA - DNU 70/23;Afiliacion
Afiliacion;Aumento de cuota (autorizado por el gobierno y general);Afiliacion
Afiliacion;Baja Conflictiva;Otros
Afiliacion;Cambio de categoria (cuando pasa de rango de edad, x ej de 35 a 36);Afiliacion
Afiliacion;Cambio de categoria 28 anos;Afiliacion
Afiliacion;Cambio de categoria 36 anos;Afiliacion
Afiliacion;Cambio de categoria 65 anos;Afiliacion
Afiliacion;Cuota diferencial;Afiliacion
Afiliacion;Falsedad en la DDJJ;Afiliacion
Afiliacion;Falsedad en la DDJJ - Baja Directa;Afiliacion
Afiliacion;Falsedad en la DDJJ - Recategorizacion;Afiliacion
Afiliacion;Jubilados;Jubilados
Afiliacion;Mayor de 65 anos;Afiliacion
Afiliacion;Movimientos por FTP;Afiliacion
Afiliacion;Negativa de Afiliacion;Afiliacion
Afiliacion;Negativa de Socio obligatorio;Afiliacion
Afiliacion;Opcion;Afiliacion
Afiliacion;Preexistencia;Afiliacion
Afiliacion;RE - Afiliacion;Afiliacion
Afiliacion;Regimen monotributo;Afiliacion
Afiliacion;RIPTE;Afiliacion
Atencion Deficiente;Por OSDE;Otros
Atencion Deficiente;Por Prestador;Otros
Cobertura;Acompanante terapeutico;Discapacidad
Cobertura;AIE - maestra integradora;Discapacidad
Cobertura;Alta sanatorial conflictiva;Otros
Cobertura;Asistente domiciliario;Discapacidad
Cobertura;By Pass Gastrico;Cobertura/Medicamentos
Cobertura;Celiaquia;Cobertura/Medicamentos
Cobertura;Centro de Dia;Discapacidad
Cobertura;Centro Educativo Terapeutico;Discapacidad
Cobertura;Cirugia Cross Linking;Cobertura/Medicamentos
Cobertura;Cirugia de Reasignacion de Sexo;Cobertura/Medicamentos
Cobertura;Cirugia Post By Pass Gastrico;Cobertura/Medicamentos
Cobertura;Cirugia TAVI;Cobertura/Medicamentos
Cobertura;Cirugias;Cobertura/Medicamentos
Cobertura;Cobertura de trasplante;Cobertura/Medicamentos
Cobertura;Cobro de pesos - Cobertura;Otros
Cobertura;Drogadependencia;Cobertura/Medicamentos
Cobertura;Enfermeria;Discapacidad
Cobertura;Equinoterapia;Discapacidad
Cobertura;Escuela comun;Discapacidad
Cobertura;Escuela especial;Discapacidad
Cobertura;Estimulacion temprana;Discapacidad
Cobertura;Estudio de Diagnostico/Laboratorio;Cobertura/Medicamentos
Cobertura;FIV - Cantidad de Intentos;Cobertura/Medicamentos
Cobertura;FIV - Criopreservacion;Cobertura/Medicamentos
Cobertura;FIV - Medicamentos;Cobertura/Medicamentos
